year,city_avgtemp,global_avgtemp
1843,25.16,8.17
1844,19.05,7.65
1845,22.46,7.85
1846,,8.55
1847,,8.09
1848,,7.98
1849,,7.98
1850,,7.90
1851,,8.18
1852,,8.10
1853,,8.04
1854,,8.21
1855,,8.11
1856,,8.00
1857,,7.76
1858,,8.10
1859,,8.25
1860,,7.96
1861,23.98,7.85
1862,24.13,7.56
1863,22.87,8.11
1864,25.43,7.98
1865,25.60,8.18
1866,25.42,8.29
1867,25.62,8.44
1868,25.30,8.25
1869,25.65,8.43
1870,25.35,8.20
1871,24.97,8.12
1872,25.20,8.19
1873,25.57,8.35
1874,25.32,8.43
1875,24.53,7.86
1876,25.13,8.08
1877,25.81,8.54
1878,25.94,8.83
1879,25.57,8.17
1880,25.42,8.12
1881,26.06,8.27
1882,25.09,8.13
1883,25.36,7.98
1884,25.03,7.77
1885,25.33,7.92
1886,25.13,7.95
1887,25.08,7.91
1888,25.21,8.09
1889,25.88,8.32
1890,25.79,7.97
1891,25.88,8.02
1892,25.39,8.07
1893,25.42,8.06
1894,25.00,8.16
1895,24.96,8.15
1896,25.24,8.21
1897,25.27,8.29
1898,25.59,8.18
1899,25.57,8.40
1900,25.50,8.50
1901,25.79,8.54
1902,25.42,8.30
1903,25.03,8.22
1904,25.40,8.09
1905,25.12,8.23
1906,25.26,8.38
1907,24.98,7.95
1908,25.23,8.19
1909,25.95,8.18
1910,25.18,8.22
1911,24.85,8.18
1912,25.05,8.17
1913,24.75,8.30
1914,25.38,8.59
1915,25.88,8.59
1916,25.36,8.23
1917,25.27,8.02
1918,25.25,8.13
1919,26.01,8.38
1920,25.17,8.36
1921,25.17,8.57
1922,25.66,8.41
1923,25.51,8.42
1924,25.96,8.51
1925,25.51,8.53
1926,25.53,8.73
1927,25.82,8.52
1928,26.05,8.63
1929,25.92,8.24
1930,25.76,8.63
1931,25.90,8.72
1932,25.45,8.71
1933,25.21,8.34
1934,25.53,8.63
1935,25.90,8.52
1936,25.75,8.55
1937,25.61,8.70
1938,25.31,8.86
1939,25.72,8.76
1940,25.92,8.76
1941,26.00,8.77
1942,26.07,8.73
1943,25.21,8.76
1944,25.85,8.85
1945,25.69,8.58
1946,25.65,8.68
1947,26.13,8.80
1948,25.11,8.75
1949,25.11,8.59
1950,25.89,8.37
1951,25.96,8.63
1952,26.31,8.64
1953,26.15,8.87
1954,26.16,8.56
1955,25.65,8.63
1956,25.66,8.28
1957,25.51,8.73
1958,26.29,8.77
1959,25.26,8.73
1960,26.33,8.58
1961,25.87,8.80
1962,26.11,8.75
1963,26.10,8.86
1964,25.44,8.41
1965,25.76,8.53
1966,26.19,8.60
1967,25.33,8.70
1968,25.26,8.52
1969,26.09,8.60
1970,25.92,8.70
1971,24.96,8.60
1972,25.53,8.50
1973,25.98,8.95
1974,25.47,8.47
1975,25.34,8.74
1976,25.56,8.35
1977,26.11,8.85
1978,26.12,8.69
1979,26.55,8.73
1980,26.32,8.98
1981,26.19,9.17
1982,25.04,8.64
1983,25.40,9.03
1984,25.19,8.69
1985,25.36,8.66
1986,25.64,8.83
1987,26.35,8.99
1988,26.34,9.20
1989,25.47,8.92
1990,25.86,9.23
1991,25.94,9.18
1992,24.74,8.84
1993,25.90,8.87
1994,26.26,9.04
1995,26.33,9.35
1996,26.37,9.04
1997,25.88,9.20
1998,26.48,9.52
1999,26.75,9.29
2000,26.62,9.20
2001,26.60,9.41
2002,26.63,9.57
2003,26.87,9.53
2004,26.53,9.32
2005,26.47,9.70
2006,26.42,9.53
2007,26.58,9.73
2008,26.64,9.43
2009,26.90,9.51
2010,27.30,9.70
2011,26.57,9.52
2012,27.02,9.51
2013,27.57,9.61
